,Date,City,County,State,latitude,longitude,o3_median,pressure_median,pm25_median,humidity_median,temperature_median,dew_median,no2_median,wind-speed_median,co_median,so2_median,pm10_median,wind-gust_median,day,month,year
0,1/1/2019,albuquerque,bernalillo,NM,35.1072093,-106.6172093,20.8,1018.3,25,75.9,-5.3,0,4.7,1.6,1.5,0,18,3.8,1,1,2019
1,1/1/2019,atlanta,fulton,GA,33.7601087,-84.40282609,8,1018.5,31,86.7,14.3,0,6.5,0.3,2.5,0.2,14,1.7,1,1,2019
2,1/1/2019,austin,travis,TX,30.28333333,-97.75064103,11.2,1021.2,38,85.7,0,0,0,2.8,0,0,0,6.8,1,1,2019
3,1/1/2019,baltimore,baltimo,MD,39.30583333,-76.61041667,19.2,1014.7,13,65.2,0,0,5.6,3.4,0,0,6,8.5,1,1,2019
4,1/1/2019,boise,ada,ID,43.60454545,-116.2024242,17.4,1034.8,13,61.7,-4.1,0,0,0.7,4.8,0.7,5,2.2,1,1,2019
5,1/1/2019,boston,suffolk,MA,42.35128205,-71.06205128,22.4,1005.6,21,0,0,0,3.8,0,2,1.5,0,15.7,1,1,2019
6,1/1/2019,brooklyn,kings,NY,40.65326923,-73.95653846,20.8,1009.2,38,67.9,9.5,9.2,0,5.1,0,0,0,12.2,1,1,2019
7,1/1/2019,charlotte,mecklenburg,NC,35.19635135,-80.82810811,18.4,1016.9,21,79.8,18.3,13,0,1.2,0.6,0,0,4.6,1,1,2019
8,1/1/2019,chicago,cook,IL,41.85885057,-87.67643678,17.6,1024,27,90.2,-2,1,6.1,3.6,2.6,0,13,5,1,1,2019
9,1/1/2019,columbia,richland,SC,34.01181818,-81.01333333,17.6,1019.6,34,91.6,20,19,0,2.5,0,0,0,5.3,1,1,2019
10,1/1/2019,columbus,franklin,OH,39.98804348,-82.97978261,0,1020.6,22,86.8,4.4,0,2.8,2.5,0,0,0,5.5,1,1,2019
11,1/1/2019,dallas,dallas,TX,32.79677966,-96.78355932,12.1,1023.8,33,0,0,1,0,6.7,0,0,0,12.3,1,1,2019
12,1/1/2019,denver,denver,CO,39.74446429,-104.9119643,7.4,1028.2,42,65.5,0,0,6,0,1.9,1.6,13,2.9,1,1,2019
13,1/1/2019,detroit,wayne,MI,42.37173913,-83.10043478,10.4,1022.6,22,92,0,1,0,0,0,0,6,4.7,1,1,2019
14,1/1/2019,el paso,el paso,TX,31.83372263,-106.4245985,17.6,1014,50,44.2,0,0,4.7,0,0,0,19,9.1,1,1,2019
15,1/1/2019,fort worth,tarrant,TX,32.75272727,-97.33181818,12.1,1025.6,27,0,0,1,0,3.8,0,0,0,10.8,1,1,2019
16,1/1/2019,fresno,fresno,CA,36.75683333,-119.7833333,3.2,1023,115,82.6,0,2.3,17.6,0.6,6.7,0,44,1.9,1,1,2019
17,1/1/2019,hartford,hartford,CT,41.76194444,-72.68055556,9.4,1006.7,21,60.7,0,6,2.8,3.4,2.4,0,8,7,1,1,2019
18,1/1/2019,honolulu,honolulu,HI,21.30465116,-157.8434884,27.2,1014.6,21,70.8,21.1,0,0,0.9,3.4,0,17,5.6,1,1,2019
19,1/1/2019,houston,harris,TX,29.76687831,-95.39687831,15.2,0,40,0,0,8,0,2.7,0,0,0,4.6,1,1,2019
20,1/1/2019,indianapolis,marion,IN,39.78666667,-86.14033333,13.6,1021.6,19,0,0,1,5.6,1.5,1.8,0,6,3.6,1,1,2019
21,1/1/2019,jackson,hinds,MS,32.31821429,-90.19857143,8,1019.9,25,87,14,10,1.7,1.8,0.3,0,0,3.6,1,1,2019
22,1/1/2019,jacksonville,duval,FL,30.31615385,-81.64423077,6.5,1017,53,85.3,19.2,16,4.6,0.8,6.6,0.6,18,1.8,1,1,2019
23,1/1/2019,las vegas,clark,NV,36.13558442,-115.191039,13,1023.6,14,29.5,1.5,0,2.1,6.7,0.1,0,9,12,1,1,2019
24,1/1/2019,little rock,pulaski,AR,34.73,-92.35416667,10.4,1024.8,25,88,5.8,3,0,1.2,0,0,0,4.2,1,1,2019
25,1/1/2019,los angeles,los angeles,CA,34.03708333,-118.2884375,6.4,1019.2,44,0,0,0,22.3,0,6.9,1.5,32,3,1,1,2019
26,1/1/2019,madison,dane,WI,43.07088235,-89.38882353,0,1025.8,14,84.5,-18.6,0,0,3.2,0,0,3,1.2,1,1,2019
27,1/1/2019,manhattan,riley,KS,39.2125,-96.6125,17.6,1009.3,40,65,9.1,9.2,7.5,2.2,2.2,0,0,7.8,1,1,2019
28,1/1/2019,memphis,shelby,TN,35.11030769,-89.97984615,15.2,1022.3,25,81,7.1,5,0,3,0,0,0,3.8,1,1,2019
29,1/1/2019,miami,miami-dade,FL,25.76768421,-80.26421053,13,1020.8,21,78.3,24.4,0,0.5,1.2,1.2,0,0,6.8,1,1,2019
30,1/1/2019,milwaukee,milwaukee,WI,43.05333333,-87.96404762,24.1,1025.3,20,85.8,-5,0,6.1,2,2.6,0,11,3.8,1,1,2019
31,1/1/2019,nashville,davidson,TN,36.15636364,-86.78636364,0.8,1019.1,21,82.2,10.5,9,0,2.2,0,0,0,4.9,1,1,2019
32,1/1/2019,oakland,alameda,CA,37.7862963,-122.2255556,24.8,1022.1,13,35.7,6.9,0,5.6,1.1,3.2,1.5,0,3.1,1,1,2019
33,1/1/2019,oklahoma city,oklahoma,OK,35.47391892,-97.51662162,18.4,1027,36,0,0,0,1.9,5.6,3.4,0,13,10.4,1,1,2019
34,1/1/2019,omaha,douglas,NE,41.26652174,-96.02347826,24.1,1028.7,17,0,-10,0,0,2.5,1.5,0,11,7.6,1,1,2019
35,1/1/2019,philadelphia,philadelphia,PA,39.97674419,-75.15337209,18.4,1012,35,70.7,0,8.3,3.8,2.8,3.4,0,0,8.2,1,1,2019
36,1/1/2019,phoenix,maricopa,AZ,33.50259259,-112.0709877,15.1,33.9,38,62.2,0,4,7.5,0.7,3.4,0.6,12,2.1,1,1,2019
