,OrganizationIdentifier,ActivityMediaSubdivisionName,ActivityStartDate,ActivityDepthHeightMeasure/MeasureValue,ActivityConductingOrganizationText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName
16618,UTAHDWQ_WQX,,2019-03-26,,Division of Water Quality,,,39.68441,-111.20073,Potassium
16619,MNPCA,Surface Water,2019-10-07,,,,,44.932031,-93.144877,"Carbonaceous biochemical oxygen demand, standard conditions"
16620,MNPCA,Surface Water,2019-01-23,,,,,45.050084,-93.273847,Salinity
16621,MNPCA,Surface Water,2019-04-09,,,,,45.050084,-93.273847,Chloride
16622,MNPCA,Surface Water,2019-05-07,,,,,44.953353,-93.205417,Total volatile solids
16623,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-08-07,,,,,39.812772,-104.95444,Magnesium
16624,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-08-21,,,,,39.812772,-104.95444,"Alkalinity, total"
16625,MTVOLWQM_WQX,Treated water supply,2019-08-01,,HDR,,,48.174717,-114.308265,"Carbonaceous biochemical oxygen demand, standard conditions"
16626,SAMISHINDIAN_WQX,,2019-05-08,,,,,48.5044,-122.606,Dissolved oxygen (DO)
16627,WIDNR_WQX,,2019-08-27,4.0,WIDNR_WQX,,,45.82015,-91.89824,Total suspended solids
16628,MNPCA,Surface Water,2019-08-18,,,,,44.9971,-93.47175,Chloride
16629,INSTOR_WQX,,2019-06-11,,,,,41.65241767,-87.4381260151,Calcium carbonate
16630,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-09-04,,,,,39.812806,-104.954333,Potassium
16631,SAMISHINDIAN_WQX,,2019-07-29,,,,,48.5,-122.6,Salinity
16632,INSTOR_WQX,,2019-04-09,,,,,41.5997954912,-87.3429555221,"Alkalinity, total"
16633,MNPCA,Surface Water,2019-08-20,,,,,44.957167,-93.081783,Chloride
16634,RVRPOMO,,2019-02-14,,,,,39.2858,-123.183,Escherichia coli
16635,INSTOR_WQX,,2019-12-10,,,,,41.65241767,-87.4381260151,pH
16636,21VASWCB,Surface Water,2019-04-09,0.3,DEQ,,,37.9794,-75.5487,Escherichia coli
16637,WIDNR_WQX,,2019-07-16,,WIDNR_WQX,,,45.884422,-89.65167,pH
16638,INSTOR_WQX,,2019-11-21,,,,,41.69232048,-87.5054023621,Chemical oxygen demand
16639,MNPCA,Surface Water,2019-04-23,,,,,45.012778,-93.220278,Total volatile solids
16640,WFWQC_UT,,2019-05-15,,,,,40.144972,-111.650333,Total suspended solids
16641,MNPCA,Surface Water,2019-04-17,,,,,45.050084,-93.273847,Total dissolved solids
16642,SAMISHINDIAN_WQX,,2019-04-17,,,,,48.48,-122.57,"Temperature, water"
16643,MNPCA,Surface Water,2019-02-14,,,,,45.050084,-93.273847,"Biochemical oxygen demand, standard conditions"
16644,SAMISHINDIAN_WQX,,2019-11-12,,,,,48.48,-122.59,Specific conductance
16645,21COL001_WQX,Wastewater Treatment Plant Effluent,2019-12-12,,CDPHE-WQCD,,,39.7435,-105.476,"Hardness, Ca, Mg"
16646,MNPCA,Surface Water,2019-07-26,,,,,45.03739,-92.8425,Total volatile solids
16647,MWRD_WQX,Wastewater Treatment Plant Effluent,2019-12-18,,,,,39.812772,-104.95444,Bromide
16648,MNPCA,Surface Water,2019-05-06,,,,,44.957167,-93.081783,Total volatile solids
16649,MNPCA,Surface Water,2019-10-14,,,,,44.9971,-93.47175,Total suspended solids
16650,MNPCA,Surface Water,2019-09-11,,,,,44.910663,-93.192374,"Hardness, carbonate"
16651,WIDNR_WQX,,2019-10-01,4.0,WIDNR_WQX,,,45.82015,-91.89824,Total suspended solids
16652,SAMISHINDIAN_WQX,,2019-11-12,,,,,48.5044,-122.606,Specific conductance
16653,21VASWCB,Surface Water,2019-04-09,0.3,DEQ,,,37.9003,-75.5125,Fixed suspended solids
16654,MNPCA,Surface Water,2019-07-23,,,,,44.957167,-93.081783,pH
