,OrganizationIdentifier,ActivityMediaSubdivisionName,ActivityStartDate,ActivityDepthHeightMeasure/MeasureValue,ActivityConductingOrganizationText,HydrologicCondition,HydrologicEvent,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName
0,USGS-VA,Surface Water,2019-07-23,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Stream flow, instantaneous"
1,USGS-VA,Surface Water,2019-07-23,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Height, gage"
2,USGS-WI,Surface Water,2019-05-29,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
3,USGS-VA,Surface Water,2019-07-23,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Height, gage"
4,USGS-VA,Surface Water,2019-07-23,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Stream flow, instantaneous"
5,USGS-VA,Surface Water,2019-04-19,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Stream flow, instantaneous"
6,USGS-VA,Surface Water,2019-04-19,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Height, gage"
7,USGS-VA,Surface Water,2019-04-19,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,Total suspended solids
8,USGS-VA,Surface Water,2019-04-19,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Height, gage"
9,USGS-VA,Surface Water,2019-04-19,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Stream flow, instantaneous"
10,USGS-MA,Surface Water,2019-06-21,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
11,USGS-MA,Surface Water,2019-06-21,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
12,USGS-MA,Surface Water,2019-06-21,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
13,USGS-WI,Surface Water,2019-05-09,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Chloride
14,USGS-WI,Surface Water,2019-05-09,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
15,USGS-VA,Surface Water,2019-07-11,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Stream flow, instantaneous"
16,USGS-VA,Surface Water,2019-07-11,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA",Falling stage,Storm,,,"Height, gage"
17,USGS-MA,Surface Water,2019-10-17,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
18,USGS-MA,Surface Water,2019-10-17,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
19,USGS-MA,Surface Water,2019-10-17,,U.S. Geological Survey-Water Resources Discipline,Not determined,Storm,,,Suspended Sediment Concentration (SSC)
20,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Stream width measure
21,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Temperature, water"
22,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
23,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Specific conductance
24,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Detergent, severity (choice list)"
25,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Floating Garbage Severity (choice List)
26,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Odor, atmospheric"
27,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Floating debris - severity (choice list)
28,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Turbidity severity (choice list)
29,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
30,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Escherichia coli
31,USGS-CO,Surface Water,2019-04-08,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Total Coliform
32,USGS-WI,Surface Water,2019-07-03,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Total suspended solids
33,USGS-WI,Surface Water,2019-07-03,,U.S. Geological Survey-Water Resources Discipline,"Stable, normal stage",Routine sample,,,Suspended Sediment Concentration (SSC)
34,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Temperature, water"
35,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
36,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Specific conductance
37,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Detergent, severity (choice list)"
38,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Floating Garbage Severity (choice List)
39,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Odor, atmospheric"
40,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Floating debris - severity (choice list)
41,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Turbidity severity (choice list)
42,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
43,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Escherichia coli
44,USGS-CO,Surface Water,2019-10-01,,U.S. Geological Survey,"Stable, normal stage",Routine sample,,,Total Coliform
45,USGS-VA,Surface Water,2019-08-28,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA","Stable, normal stage",Routine sample,,,"Temperature, water"
46,USGS-VA,Surface Water,2019-08-28,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA","Stable, normal stage",Routine sample,,,"Temperature, air, deg C"
47,USGS-VA,Surface Water,2019-08-28,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA","Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
48,USGS-VA,Surface Water,2019-08-28,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA","Stable, normal stage",Routine sample,,,"Height, gage"
49,USGS-VA,Surface Water,2019-08-28,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA","Stable, normal stage",Routine sample,,,Specific conductance
50,USGS-VA,Surface Water,2019-08-28,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA","Stable, normal stage",Routine sample,,,"Height, gage"
51,USGS-VA,Surface Water,2019-08-28,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA","Stable, normal stage",Routine sample,,,"Stream flow, instantaneous"
52,USGS-VA,Surface Water,2019-08-28,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA","Stable, normal stage",Routine sample,,,Turbidity
53,USGS-VA,Surface Water,2019-08-28,,"Hampton Roads Sanitation Dist, Cent Envir Lab, Virg Bch, VA","Stable, normal stage",Routine sample,,,Depth of water column
